127.0.0.1 - - [03/Jul/2021:14:35:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:35:26 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57240
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:35:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:35:37 +0900] "GET /semi-4/resources/images/gameImages/resident.png HTTP/1.1" 200 493862
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:35:45 +0900] "GET /semi-4/resources/images/gameImages/rainbowsix.jpg HTTP/1.1" 200 111839
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:36:12 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10030
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:37:02 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:37:34 +0900] "GET /semi-4/user/registerform.jsp HTTP/1.1" 200 43615
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:44:41 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57227
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:45:15 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:47:38 +0900] "POST /semi-4/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:47:38 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57320
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:47:43 +0900] "GET /semi-4/user/userinfoform.jsp HTTP/1.1" 200 9472
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:47:55 +0900] "POST /semi-4/user/usermodifiesform.jsp HTTP/1.1" 200 11359
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:48:12 +0900] "GET /semi-4/user/userleaveform.jsp HTTP/1.1" 200 10222
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:48:20 +0900] "GET /semi-4/user/userinfoform.jsp HTTP/1.1" 200 9472
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:48:21 +0900] "GET /semi-4/user/userinfoform.jsp HTTP/1.1" 200 9472
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:48:22 +0900] "POST /semi-4/user/usermodifiesform.jsp HTTP/1.1" 200 11359
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:49:50 +0900] "GET /semi-4/user/userqnaform.jsp HTTP/1.1" 200 8625
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:49:52 +0900] "GET /semi-4/user/userorderform.jsp HTTP/1.1" 200 13728
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:03:58 +0900] "GET /semi-4/user/userqnaform.jsp HTTP/1.1" 200 8625
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:06 +0900] "GET /semi-4/user/userreviewform.jsp HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:10 +0900] "GET /semi-4/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:10 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57227
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:14 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:18 +0900] "POST /semi-4/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:19 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57320
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:21 +0900] "GET /semi-4/user/userinfoform.jsp HTTP/1.1" 200 9472
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:22 +0900] "GET /semi-4/user/userreviewform.jsp HTTP/1.1" 200 9490
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:23 +0900] "GET /semi-4/user/userqnaform.jsp HTTP/1.1" 200 9035
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:40 +0900] "GET /semi-4/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:40 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57227
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:41 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:49 +0900] "POST /semi-4/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:04:49 +0900] "GET /semi-4/loginform.jsp?fail=exituser HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:01 +0900] "POST /semi-4/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:01 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57320
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:03 +0900] "GET /semi-4/user/userinfoform.jsp HTTP/1.1" 200 9476
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:04 +0900] "GET /semi-4/user/userreviewform.jsp HTTP/1.1" 200 8682
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:04 +0900] "GET /semi-4/user/userqnaform.jsp HTTP/1.1" 200 8625
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:05 +0900] "GET /semi-4/purchase/cart.jsp HTTP/1.1" 200 11546
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:50 +0900] "GET /semi-4/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:51 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57227
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:05:52 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:06:12 +0900] "POST /semi-4/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:06:12 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57320
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:06:13 +0900] "GET /semi-4/user/userinfoform.jsp HTTP/1.1" 200 9476
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:06:14 +0900] "GET /semi-4/user/userreviewform.jsp HTTP/1.1" 200 9489
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:06:15 +0900] "GET /semi-4/user/userqnaform.jsp HTTP/1.1" 200 9039
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:08 +0900] "GET /semi-4/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:08 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57227
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:09 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:13 +0900] "POST /semi-4/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:13 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57320
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:16 +0900] "GET /semi-4/user/userinfoform.jsp HTTP/1.1" 200 9472
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:17 +0900] "GET /semi-4/purchase/cart.jsp HTTP/1.1" 200 12561
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:19 +0900] "GET /semi-4/user/userreviewform.jsp HTTP/1.1" 200 9490
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:20 +0900] "GET /semi-4/user/userqnaform.jsp HTTP/1.1" 200 9035
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:22 +0900] "GET /semi-4/user/userreviewform.jsp HTTP/1.1" 200 9490
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:24 +0900] "GET /semi-4/board/reviewboard/reviewboarddetail.jsp?reviewno=1000000063&pageno=1&from=userreviewform.jsp HTTP/1.1" 200 18437
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:07:40 +0900] "GET /semi-4/user/userqnaform.jsp HTTP/1.1" 200 9035
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:08:03 +0900] "GET /semi-4/user/userreviewform.jsp HTTP/1.1" 200 9490
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:08:36 +0900] "GET /semi-4/user/userleaveform.jsp HTTP/1.1" 200 10222
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:09:23 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57320
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:09:25 +0900] "GET /semi-4/user/userinfoform.jsp HTTP/1.1" 200 9472
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:09:26 +0900] "GET /semi-4/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:09:26 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57227
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:09:30 +0900] "GET /semi-4/purchase/gamemenu.jsp HTTP/1.1" 200 24454
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:09:31 +0900] "GET /semi-4/purchase/orderdirectform.jsp?gameno=10161 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:09:31 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:13:10 +0900] "GET /semi-4/home.jsp HTTP/1.1" 200 57227
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:13:11 +0900] "GET /semi-4/loginform.jsp HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:13:18 +0900] "POST /semi-4/login.jsp HTTP/1.1" 302 -
